iso3;country;region;country_description;region_name
AFG;Afghanistan;SA;Afghanistan;South Asia
ALB;Albania;ECA;Albania;Europe and Central Asia
DZA;Algeria;AS;Algeria;Arab States
AND;Andorra;ECA;Andorra;Europe and Central Asia
AGO;Angola;SSA;Angola;Sub-Saharan Africa
ATG;Antigua and Barbuda;LAC;Antigua and Barbuda;Latin America and the Caribbean
ARG;Argentina;LAC;Argentina;Latin America and the Caribbean
ARM;Armenia;ECA;Armenia;Europe and Central Asia
AUS;Australia;EAP;Australia;East Asia and the Pacific
AUT;Austria;ECA;Austria;Europe and Central Asia
AZE;Azerbaijan;ECA;Azerbaijan;Europe and Central Asia
BHS;Bahamas;LAC;Bahamas;Latin America and the Caribbean
BHR;Bahrain;AS;Bahrain;Arab States
BGD;Bangladesh;SA;Bangladesh;South Asia
BRB;Barbados;LAC;Barbados;Latin America and the Caribbean
BLR;Belarus;ECA;Belarus;Europe and Central Asia
BEL;Belgium;ECA;Belgium;Europe and Central Asia
BLZ;Belize;LAC;Belize;Latin America and the Caribbean
BEN;Benin;SSA;Benin;Sub-Saharan Africa
BTN;Bhutan;SA;Bhutan;South Asia
BOL;Bolivia;LAC;Bolivia (Plurinational State of);Latin America and the Caribbean
BIH;Bosnia and Herzegovina;ECA;Bosnia and Herzegovina;Europe and Central Asia
BWA;Botswana;SSA;Botswana;Sub-Saharan Africa
BRA;Brazil;LAC;Brazil;Latin America and the Caribbean
BRN;Brunei Darussalam;EAP;Brunei Darussalam;East Asia and the Pacific
BGR;Bulgaria;ECA;Bulgaria;Europe and Central Asia
BFA;Burkina Faso;SSA;Burkina Faso;Sub-Saharan Africa
BDI;Burundi;SSA;Burundi;Sub-Saharan Africa
CPV;Cabo Verde;SSA;Cabo Verde;Sub-Saharan Africa
KHM;Cambodia;EAP;Cambodia;East Asia and the Pacific
CMR;Cameroon;SSA;Cameroon;Sub-Saharan Africa
CAN;Canada;NA;Canada;North America
CAF;Central African Republic;SSA;Central African Republic;Sub-Saharan Africa
TCD;Chad;SSA;Chad;Sub-Saharan Africa
CHL;Chile;LAC;Chile;Latin America and the Caribbean
CHN;China;EAP;China;East Asia and the Pacific
COL;Colombia;LAC;Colombia;Latin America and the Caribbean
COM;Comoros;SSA;Comoros;Sub-Saharan Africa
COG;Congo;SSA;Congo;Sub-Saharan Africa
COD;Congo;SSA;Congo (Democratic Republic of the);Sub-Saharan Africa
CRI;Costa Rica;LAC;Costa Rica;Latin America and the Caribbean
CIV;Côte d'Ivoire;SSA;Côte d'Ivoire;Sub-Saharan Africa
HRV;Croatia;ECA;Croatia;Europe and Central Asia
CUB;Cuba;LAC;Cuba;Latin America and the Caribbean
CYP;Cyprus;ECA;Cyprus;Europe and Central Asia
CZE;Czechia;ECA;Czechia;Europe and Central Asia
DNK;Denmark;ECA;Denmark;Europe and Central Asia
DJI;Djibouti;AS;Djibouti;Arab States
DMA;Dominica;LAC;Dominica;Latin America and the Caribbean
DOM;Dominican Republic;LAC;Dominican Republic;Latin America and the Caribbean
ECU;Ecuador;LAC;Ecuador;Latin America and the Caribbean
EGY;Egypt;AS;Egypt;Arab States
SLV;El Salvador;LAC;El Salvador;Latin America and the Caribbean
GNQ;Equatorial Guinea;SSA;Equatorial Guinea;Sub-Saharan Africa
ERI;Eritrea;SSA;Eritrea;Sub-Saharan Africa
EST;Estonia;ECA;Estonia;Europe and Central Asia
SWZ;Eswatini;SSA;Eswatini (Kingdom of);Sub-Saharan Africa
ETH;Ethiopia;SSA;Ethiopia;Sub-Saharan Africa
FJI;Fiji;EAP;Fiji;East Asia and the Pacific
FIN;Finland;ECA;Finland;Europe and Central Asia
FRA;France;ECA;France;Europe and Central Asia
GAB;Gabon;SSA;Gabon;Sub-Saharan Africa
GMB;Gambia;SSA;Gambia;Sub-Saharan Africa
GEO;Georgia;ECA;Georgia;Europe and Central Asia
DEU;Germany;ECA;Germany;Europe and Central Asia
GHA;Ghana;SSA;Ghana;Sub-Saharan Africa
GRC;Greece;ECA;Greece;Europe and Central Asia
GRD;Grenada;LAC;Grenada;Latin America and the Caribbean
GTM;Guatemala;LAC;Guatemala;Latin America and the Caribbean
GIN;Guinea;SSA;Guinea;Sub-Saharan Africa
GNB;Guinea-Bissau;SSA;Guinea-Bissau;Sub-Saharan Africa
GUY;Guyana;LAC;Guyana;Latin America and the Caribbean
HTI;Haiti;LAC;Haiti;Latin America and the Caribbean
HND;Honduras;LAC;Honduras;Latin America and the Caribbean
HKG;Hong Kong;EAP;Hong Kong, China (SAR);East Asia and the Pacific
HUN;Hungary;ECA;Hungary;Europe and Central Asia
ISL;Iceland;ECA;Iceland;Europe and Central Asia
IND;India;SA;India;South Asia
IDN;Indonesia;EAP;Indonesia;East Asia and the Pacific
IRN;Iran;SA;Iran (Islamic Republic of);South Asia
IRQ;Iraq;AS;Iraq;Arab States
IRL;Ireland;ECA;Ireland;Europe and Central Asia
ISR;Israel;ECA;Israel;Europe and Central Asia
ITA;Italy;ECA;Italy;Europe and Central Asia
JAM;Jamaica;LAC;Jamaica;Latin America and the Caribbean
JPN;Japan;EAP;Japan;East Asia and the Pacific
JOR;Jordan;AS;Jordan;Arab States
KAZ;Kazakhstan;ECA;Kazakhstan;Europe and Central Asia
KEN;Kenya;SSA;Kenya;Sub-Saharan Africa
KIR;Kiribati;EAP;Kiribati;East Asia and the Pacific
PRK;Korea;EAP;Korea (Democratic People's Rep. of);East Asia and the Pacific
KOR;Korea;EAP;Korea (Republic of);East Asia and the Pacific
KWT;Kuwait;AS;Kuwait;Arab States
KGZ;Kyrgyzstan;ECA;Kyrgyzstan;Europe and Central Asia
LAO;Lao People's Democratic Republic;EAP;Lao People's Democratic Republic;East Asia and the Pacific
LVA;Latvia;ECA;Latvia;Europe and Central Asia
LBN;Lebanon;AS;Lebanon;Arab States
