country name;country code;metric;metric code;year;value
Afghanistan;AFG;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;
Afghanistan;AFG;Gini index;SI.POV.GINI;1990;
Afghanistan;AFG;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
Afghanistan;AFG;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;0.242593598026177
Afghanistan;AFG;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;23
Afghanistan;AFG;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;
Afghanistan;AFG;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Afghanistan;AFG;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Afghanistan;AFG;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;
Albania;ALB;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;1606.29646776458
Albania;ALB;Gini index;SI.POV.GINI;1990;
Albania;ALB;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
Albania;ALB;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;2.02188196590824
Albania;ALB;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;25.5
Albania;ALB;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;
Albania;ALB;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Albania;ALB;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Albania;ALB;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;
Algeria;DZA;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;3605.68701213527
Algeria;DZA;Gini index;SI.POV.GINI;1990;
Algeria;DZA;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
Algeria;DZA;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;2.84362548427026
Algeria;DZA;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;0.2
Algeria;DZA;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;
Algeria;DZA;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Algeria;DZA;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Algeria;DZA;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;287640366564.007
American Samoa;ASM;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;
American Samoa;ASM;Gini index;SI.POV.GINI;1990;
American Samoa;ASM;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
American Samoa;ASM;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;0.00214408233276158
American Samoa;ASM;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;0
American Samoa;ASM;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;
American Samoa;ASM;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
American Samoa;ASM;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
American Samoa;ASM;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;
Andorra;AND;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;31143.1468745802
Andorra;AND;Gini index;SI.POV.GINI;1990;
Andorra;AND;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
Andorra;AND;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;
Andorra;AND;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;14.1
Andorra;AND;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;
Andorra;AND;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Andorra;AND;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Andorra;AND;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;
Angola;AGO;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;2380.17624300565
Angola;AGO;Gini index;SI.POV.GINI;1990;
Angola;AGO;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
Angola;AGO;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;0.965968712477508
Angola;AGO;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;72.3
Angola;AGO;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;
Angola;AGO;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Angola;AGO;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Angola;AGO;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;
Antigua and Barbuda;ATG;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;13164.2272092671
Antigua and Barbuda;ATG;Gini index;SI.POV.GINI;1990;
Antigua and Barbuda;ATG;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
Antigua and Barbuda;ATG;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;2.59569340056449
Antigua and Barbuda;ATG;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;0
Antigua and Barbuda;ATG;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;
Antigua and Barbuda;ATG;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Antigua and Barbuda;ATG;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Antigua and Barbuda;ATG;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;
Argentina;ARG;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;8115.09386370753
Argentina;ARG;Gini index;SI.POV.GINI;1990;
Argentina;ARG;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
Argentina;ARG;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;3.0586122482175
Argentina;ARG;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;8.6
Argentina;ARG;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;1.06737995147705
Argentina;ARG;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Argentina;ARG;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Argentina;ARG;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;535224737600.554
Armenia;ARM;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;1644.02214502158
Armenia;ARM;Gini index;SI.POV.GINI;1990;
Armenia;ARM;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
Armenia;ARM;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;5.85004256603366
Armenia;ARM;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;2.1
Armenia;ARM;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;
Armenia;ARM;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Armenia;ARM;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Armenia;ARM;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;
Aruba;ABW;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;26609.3840748633
Aruba;ABW;Gini index;SI.POV.GINI;1990;
Aruba;ABW;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
Aruba;ABW;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;3.20144056857839
Aruba;ABW;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;0.3
Aruba;ABW;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;
Aruba;ABW;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Aruba;ABW;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Aruba;ABW;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;
Australia;AUS;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;36886.1444273767
Australia;AUS;Gini index;SI.POV.GINI;1990;
Australia;AUS;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
Australia;AUS;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;16.2736722513889
Australia;AUS;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;8
Australia;AUS;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;4.66689014434814
Australia;AUS;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Australia;AUS;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0.585
